,Ball_Count,PKG_Dimension,PKG_Height,RTD_SETUP,tester,equip_id,Due_Date,Suggest_Date,Last_PM,Event_Code,Code,Semi_State_ID,Standard_work_time,Location,Status,PM_duration,Type,Freq,Cur,Due,warning,critical,handler,NOTE
1441,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-14 23:59:00,2022-08-13 23:59:00,2021-08-14 06:34:35.167,PM 1 YEAR,TECHWING ANNUAL PM,PRODUCTIVE          ,12.0,T01-TFC1-P0926,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0369,
1442,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-05-04 13:25:46.680,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0369,
1443,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-04 23:59:00,2022-08-01 23:59:00,2022-02-03 18:53:55.037,PM 6 MONTH,TECHWING SEMI ANNUAL PM,PRODUCTIVE          ,8.0,T01-TFC1-P0926,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0369,
1444,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-18 07:13:21.993,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0369,
1445,877B,877/968FBGA6.6X13.1,0.79-0.79,877/968FBGA6.6X13.1_64X_0.79-0.79_1231,SM3016-0098,SM3016-0098,2022-08-14 23:59:00,2022-08-13 23:59:00,2022-07-15 04:10:02.677,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0127,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0168,
1446,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0174,TW322SM-0466,2022-08-06 23:59:00,2022-08-05 23:59:00,2022-07-07 00:34:05.197,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1410,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0466,
1447,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0174,TW322SM-0466,2022-08-06 23:59:00,2022-08-05 23:59:00,2022-07-07 00:34:05.213,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1410,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0466,
1448,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0174,TW322SM-0466,2022-08-06 23:59:00,2022-08-05 23:59:00,2022-07-07 00:34:05.213,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1410,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0466,
1449,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0174,TW322SM-0466,2022-08-12 23:59:00,2022-08-11 23:59:00,N/A,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P1410,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0466,
1450,315B,315/315FBGA12.4X15,1.1-1.1,315/315FBGA12.4X15_256X_1.1-1.1_1329,SM3316-0174,TW322SM-0466,2022-07-22 23:59:00,2022-07-21 23:59:00,2022-07-07 00:34:05.227,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P1410,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0466,
1451,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0141,TW322SM-0433,2022-08-09 23:59:00,2022-08-08 23:59:00,2022-07-10 23:08:43.843,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1626,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0433,
1452,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0141,TW322SM-0433,2022-08-09 23:59:00,2022-08-08 23:59:00,2022-07-10 23:08:43.843,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P1626,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0433,
1453,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0141,TW322SM-0433,2022-08-09 23:59:00,2022-08-08 23:59:00,2022-07-10 23:08:43.860,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P1626,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0433,
1454,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0141,TW322SM-0433,2022-07-25 23:59:00,2022-07-24 23:59:00,2022-07-10 23:08:43.860,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P1626,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0433,
1455,441B,441/441FBGA14X14,1.1-1.1,441/441FBGA14X14_64-128X_1.1-1.1_1291,SM3316-0011,SM3316-0011,2022-08-08 23:59:00,2022-08-07 23:59:00,2022-07-09 01:40:30.427,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0915,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0348,
1456,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0112,SM3316-0112,2022-07-23 23:59:00,2022-07-22 23:59:00,2022-06-23 20:55:01.933,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0603,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0187,
1457,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_TORSION_PEEK_1112,SM3016-0261,SM3016-0261,2022-07-27 23:59:00,2022-07-26 23:59:00,2022-06-27 03:29:14.293,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0305,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0329,
1458,200B,200/264FBGA10X14.5,1.14-1.14,200/264FBGA10X14.5_128X_1.14-1.14_1126,SM3016-0089,TW322SM-0098,2022-08-02 23:59:00,2022-07-31 23:59:00,2022-07-03 05:07:06.953,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0610,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0098,
1459,200B,200/264FBGA10X14.5,1.14-1.14,200/264FBGA10X14.5_128X_1.14-1.14_1126,SM3016-0089,TW322SM-0098,2022-08-02 23:59:00,2022-07-31 23:59:00,2022-07-03 05:07:06.970,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0610,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0098,
